Year,Efficiency
1992,38.5
1994,68.7235294117647
1995,84.985
1997,70.69
1998,62.01666666666667
1999,62.0
2000,80.15434782608695
2001,73.834
2002,62.958333333333336
2003,79.17291666666667
2004,53.370000000000005
2006,73.01666666666667
2007,66.84545454545454
2008,52.75
2009,66.6
2010,52.3
2012,73.59791666666666
