Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
152,152,8,2006-05-13,NJD,,CAR,W 5-1,1-0-0,60:00,1,19,20,0.95,0,0,0,0,1,1,1.0,1.0,194.0,97.0,2006
153,153,9,2006-05-14,NJD,@,CAR,L 1-4,0-1-0,59:19,3,27,30,0.9,0,0,0,0,0,1,3.0,0.0,87.0,43.5,2006
154,154,1,2007-04-12,NJD,,TBL,W 5-3,1-0-0,60:00,3,23,26,0.885,0,0,0,0,1,1,3.0,1.0,185.5,92.75,2007
155,155,2,2007-04-14,NJD,,TBL,L 2-3,0-1-0,59:21,3,17,20,0.85,0,0,0,0,0,1,3.0,0.0,82.0,41.0,2007
156,156,3,2007-04-16,NJD,@,TBL,L 2-3,0-1-0,58:41,3,21,24,0.875,0,0,0,0,0,1,3.0,0.0,84.5,42.25,2007
157,157,4,2007-04-18,NJD,@,TBL,W 4-3 (OT),1-0-0,72:54,3,30,33,0.909,0,0,0,0,1,1,3.0,1.0,187.9,93.95,2007
158,158,5,2007-04-20,NJD,,TBL,W 3-0,1-0-0,60:00,0,31,31,1.0,0,0,0,0,1,1,0.0,1.0,200.0,100.0,2007
159,159,6,2007-04-22,NJD,@,TBL,W 3-2,1-0-0,60:00,2,32,34,0.941,0,0,0,0,1,1,2.0,1.0,192.1,96.05,2007
160,160,7,2007-04-26,NJD,,OTT,L 4-5,0-1-0,58:57,5,21,26,0.808,0,0,0,0,0,1,5.0,0.0,75.80000000000001,37.900000000000006,2007
161,161,8,2007-04-28,NJD,,OTT,W 3-2 (OT),1-0-0,81:55,2,43,45,0.956,0,0,0,0,1,1,2.0,1.0,193.6,96.8,2007
162,162,9,2007-04-30,NJD,@,OTT,L 0-2,0-1-0,59:13,1,32,33,0.97,0,0,0,0,0,1,1.0,0.0,96.0,48.0,2007
163,163,10,2007-05-02,NJD,@,OTT,L 2-3,0-1-0,58:39,3,33,36,0.917,0,0,1,1,0,1,3.0,0.0,88.7,44.35,2007
164,164,11,2007-05-05,NJD,,OTT,L 2-3,0-1-0,58:26,3,21,24,0.875,0,0,0,0,0,1,3.0,0.0,84.5,42.25,2007
165,165,1,2008-04-09,NJD,,NYR,L 1-4,0-1-0,58:47,3,24,27,0.889,0,0,0,0,0,1,3.0,0.0,85.9,42.95,2008
166,166,2,2008-04-11,NJD,,NYR,L 1-2,0-1-0,58:05,2,28,30,0.933,0,0,0,0,0,1,2.0,0.0,91.30000000000001,45.650000000000006,2008
