Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
44,44,6,1997-05-02,NJD,,NYR,W 2-0,1-0-0,60:00,0,21,21,1.0,0,0,0,0,1,1,0.0,1.0,200.0,100.0,1997
45,45,7,1997-05-04,NJD,,NYR,L 0-2,0-1-0,59:33,1,20,21,0.952,0,0,0,0,0,1,1.0,0.0,94.19999999999999,47.099999999999994,1997
46,46,8,1997-05-06,NJD,@,NYR,L 2-3,0-1-0,58:58,3,23,26,0.885,0,0,0,0,0,1,3.0,0.0,85.5,42.75,1997
47,47,9,1997-05-08,NJD,@,NYR,L 0-3,0-1-0,59:28,2,25,27,0.926,0,0,0,0,0,1,2.0,0.0,90.60000000000001,45.300000000000004,1997
48,48,10,1997-05-11,NJD,,NYR,L 1-2 (OT),0-1-0,74:08,2,29,31,0.935,0,0,0,0,0,1,2.0,0.0,91.5,45.75,1997
49,49,1,1998-04-22,NJD,,OTT,L 1-2 (OT),0-1-0,65:58,2,30,32,0.938,0,0,0,0,0,1,2.0,0.0,91.8,45.9,1998
50,50,2,1998-04-24,NJD,,OTT,W 3-1,1-0-0,60:00,1,27,28,0.964,0,0,0,0,1,1,1.0,1.0,195.39999999999998,97.69999999999999,1998
51,51,3,1998-04-26,NJD,@,OTT,L 1-2 (OT),0-1-0,62:47,2,21,23,0.913,0,0,0,0,0,1,2.0,0.0,89.3,44.65,1998
52,52,4,1998-04-28,NJD,@,OTT,L 3-4,0-1-0,58:23,4,24,28,0.857,0,0,0,0,0,1,4.0,0.0,81.7,40.85,1998
53,53,5,1998-04-30,NJD,,OTT,W 3-1,1-0-0,60:00,1,22,23,0.957,0,0,1,1,1,1,1.0,1.0,194.7,97.35,1998
54,54,6,1998-05-02,NJD,@,OTT,L 1-3,0-1-0,59:02,2,28,30,0.933,0,0,0,0,0,1,2.0,0.0,91.30000000000001,45.650000000000006,1998
55,55,1,1999-04-22,NJD,,PIT,W 3-1,1-0-0,60:00,1,24,25,0.96,0,0,0,0,1,1,1.0,1.0,195.0,97.5,1999
56,56,2,1999-04-24,NJD,,PIT,L 1-4,0-1-0,58:38,4,13,17,0.765,0,0,0,0,0,1,4.0,0.0,72.5,36.25,1999
57,57,3,1999-04-25,NJD,@,PIT,L 2-4,0-1-0,59:02,3,18,21,0.857,0,0,0,0,0,1,3.0,0.0,82.7,41.35,1999
58,58,4,1999-04-27,NJD,@,PIT,W 4-2,1-0-0,60:00,2,16,18,0.889,0,0,1,1,1,1,2.0,1.0,186.9,93.45,1999
59,59,5,1999-04-30,NJD,,PIT,W 4-3,1-0-0,59:57,3,14,17,0.824,2,0,1,1,1,1,3.0,1.0,179.39999999999998,89.69999999999999,1999
60,60,6,1999-05-02,NJD,@,PIT,L 2-3 (OT),0-1-0,68:59,3,25,28,0.893,0,0,0,0,0,1,3.0,0.0,86.3,43.15,1999
61,61,7,1999-05-04,NJD,,PIT,L 2-4,0-1-0,57:56,4,9,13,0.692,0,0,0,0,0,1,4.0,0.0,65.19999999999999,32.599999999999994,1999
62,62,1,2000-04-13,NJD,,FLA,W 4-3,1-0-0,60:00,3,20,23,0.87,0,0,0,0,1,1,3.0,1.0,184.0,92.0,2000
63,63,2,2000-04-16,NJD,,FLA,W 2-1,1-0-0,60:00,1,22,23,0.957,0,0,0,0,1,1,1.0,1.0,194.7,97.35,2000
64,64,3,2000-04-18,NJD,@,FLA,W 2-1,1-0-0,60:00,1,21,22,0.955,0,0,0,0,1,1,1.0,1.0,194.5,97.25,2000
65,65,4,2000-04-20,NJD,@,FLA,W 4-1,1-0-0,60:00,1,35,36,0.972,0,0,0,0,1,1,1.0,1.0,196.2,98.1,2000
66,66,5,2000-04-27,NJD,@,TOR,L 1-2,0-1-0,58:31,2,19,21,0.905,0,0,,0,0,1,2.0,0.0,88.5,44.25,2000
67,67,6,2000-04-29,NJD,@,TOR,W 1-0,1-0-0,60:00,0,20,20,1.0,2,0,,0,1,1,0.0,1.0,200.0,100.0,2000
