Split,Value,GP,Wins,Losses,Ties/Overtime Losses,Goals Against,Shots Against,Saves,Save Percentage,Goals Against Average,Shutouts,PIM,TOI,Even Strength Goals Against,Power Play Goals Against,Short Handed Goals Against,Win Percentage,Raw Score,Efficiency
,Los Angeles Kings,17,8.0,7,1,39,437,398,0.911,2.37,1,2,988:12,22,10,1,0.47058823529411764,135.78882352941176,67.89441176470588
,Minnesota Wild,11,7.0,2,2,26,312,286,0.917,2.49,1,0,626:40,20,5,1,0.6363636363636364,152.84636363636363,76.42318181818182
,Montreal Canadiens,70,45.0,19,6,128,1818,1690,0.93,1.83,9,2,4188:56,63,22,3,0.6428571428571429,155.45571428571427,77.72785714285713
,Nashville Predators,14,7.0,6,1,35,368,333,0.905,2.48,1,0,847:52,25,10,0,0.5,138.02,69.01
,New York Islanders,91,52.0,28,9,195,2217,2022,0.912,2.22,10,6,5273:49,94,47,9,0.5714285714285714,146.12285714285716,73.06142857142858
,New York Rangers,101,49.0,32,20,217,2600,2383,0.917,2.17,9,12,6002:31,120,41,5,0.48514851485148514,138.04485148514854,69.02242574257427
,Ottawa Senators,69,37.0,24,7,150,1768,1618,0.915,2.2,6,8,4094:20,104,19,2,0.5362318840579711,142.92318840579713,71.46159420289857
,Philadelphia Flyers,92,50.0,31,10,216,2356,2140,0.908,2.37,12,10,5465:23,124,41,3,0.5434782608695652,142.7778260869565,71.38891304347825
,Arizona Coyotes,22,12.0,9,1,47,547,500,0.914,2.21,4,0,1275:51,24,5,2,0.5454545454545454,143.73545454545453,71.86772727272727
,Pittsburgh Penguins,84,48.0,28,5,193,2018,1825,0.904,2.45,9,18,4728:26,111,37,3,0.5714285714285714,145.09285714285716,72.54642857142858
,San Jose Sharks,20,10.0,8,2,49,479,430,0.898,2.45,0,8,1199:13,27,8,1,0.5,137.35000000000002,68.67500000000001
,St. Louis Blues,16,9.0,5,2,40,431,391,0.907,2.46,1,4,975:18,17,3,0,0.5625,144.48999999999998,72.24499999999999
,Tampa Bay Lightning,66,39.0,17,8,136,1648,1512,0.917,2.1,6,0,3887:33,79,26,2,0.5909090909090909,148.69090909090912,74.34545454545456
,Toronto Maple Leafs,53,22.0,20,10,135,1388,1253,0.903,2.54,3,4,3185:42,87,29,4,0.41509433962264153,129.26943396226417,64.63471698113209
,Vancouver Canucks,18,6.0,12,0,50,409,359,0.878,2.86,1,0,1047:09,31,6,0,0.3333333333333333,118.27333333333333,59.13666666666666
,Winnipeg Jets,43,25.0,9,8,88,971,883,0.909,2.1,7,8,2511:31,63,20,5,0.5813953488372093,146.93953488372094,73.46976744186047
,Washington Capitals,62,40.0,17,4,141,1496,1355,0.906,2.32,6,6,3651:32,77,21,3,0.6451612903225806,152.79612903225808,76.39806451612904
